step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
10,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
15,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
20,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
25,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
30,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
35,0.3400,0.0900,0.0000,0.3000,0.0000,0.0000,walking
40,0.3900,0.0900,0.0000,0.3000,0.0000,0.0000,walking
45,0.4400,0.0900,0.0000,0.3000,0.0000,0.0000,walking
50,0.4900,0.0900,0.0000,0.3000,0.0000,0.0000,walking
55,0.5400,0.0900,0.0000,0.3000,0.0000,0.0000,walking
60,0.5900,0.0900,0.0000,0.3001,0.0000,0.0000,walking
65,0.6400,0.0900,0.0000,0.3001,0.0000,0.0000,walking
70,0.6900,0.0901,0.0000,0.3002,0.0000,0.0000,walking
75,0.7400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
80,0.7900,0.1351,0.0000,0.4502,0.0000,0.0000,walking
85,0.8400,0.1351,0.0000,0.4503,0.0000,0.0000,walking
90,0.8900,0.1351,0.0000,0.4503,0.0000,0.0000,walking
95,0.9400,0.1351,0.0000,0.4503,0.0000,0.0000,walking
100,0.9900,0.1351,0.0000,0.4503,0.0000,0.0000,walking
105,1.0400,0.1351,0.0000,0.4504,0.0000,0.0000,walking
110,1.0900,0.1351,0.0000,0.4504,0.0000,0.0000,walking
115,1.1400,0.1351,0.0000,0.4504,0.0000,0.0000,walking
120,1.1900,0.1351,0.0000,0.4504,0.0000,0.0000,walking
125,1.2400,0.0944,0.0144,0.3004,0.0000,0.0000,walking
130,1.2900,0.1375,0.0079,0.4505,0.0000,0.0000,walking
135,1.3400,0.1368,0.0056,0.4505,0.0000,0.0000,walking
140,1.3900,0.1361,0.0032,0.4506,0.0000,0.0000,walking
145,1.4400,0.1358,0.0019,0.4507,0.0000,0.0000,walking
150,1.4900,0.1355,0.0010,0.4507,0.0000,0.0000,walking
155,1.5400,0.1356,0.0012,0.4508,0.0000,0.0000,walking
160,1.5900,0.1356,0.0012,0.4509,0.0000,0.0000,walking
165,1.6400,0.1357,0.0013,0.4509,0.0000,0.0000,walking
170,1.6900,0.1357,0.0015,0.4509,0.0000,0.0000,walking
175,1.7400,0.1378,0.0084,0.4510,0.0000,0.0000,walking
180,1.7900,0.1376,0.0077,0.4510,0.0000,0.0000,walking
185,1.8400,0.1808,0.0018,0.6010,0.0000,0.0000,walking
190,1.8900,0.1808,0.0015,0.6011,0.0000,0.0000,walking
195,1.9400,0.1806,0.0010,0.6012,0.0000,0.0000,walking
200,1.9900,0.1807,0.0011,0.6012,0.0000,0.0000,walking
205,2.0400,0.1804,0.0000,0.6012,0.0000,0.0000,walking
210,2.0900,0.1804,0.0001,0.6012,0.0000,0.0000,walking
215,2.1400,0.1804,0.0000,0.6012,0.0000,0.0000,walking
220,2.1900,0.1804,0.0002,0.6013,0.0000,0.0000,walking
225,2.2400,0.1804,0.0000,0.6013,0.0000,0.0000,walking
230,2.2900,0.1805,0.0002,0.6014,0.0000,0.0000,walking
235,2.3400,0.1820,0.0054,0.6014,0.0000,0.0000,walking
240,2.3900,0.1820,0.0054,0.6014,0.0000,0.0000,walking
245,2.4400,0.1829,0.0082,0.6015,0.0000,0.0000,walking
250,2.4900,0.1821,0.0054,0.6016,0.0000,0.0000,walking
255,2.5400,0.1805,0.0000,0.6016,0.0000,0.0000,walking
260,2.5900,0.1806,0.0002,0.6017,0.0000,0.0000,walking
265,2.6400,0.1808,0.0010,0.6018,0.0000,0.0000,walking
270,2.6900,0.1808,0.0007,0.6018,0.0000,0.0000,walking
275,2.7400,0.1810,0.0015,0.6018,0.0000,0.0000,walking
280,2.7900,0.1810,0.0016,0.6018,0.0000,0.0000,walking
285,2.8400,0.1811,0.0018,0.6018,0.0000,0.0000,walking
290,2.8900,0.1811,0.0018,0.6018,0.0000,0.0000,walking
295,2.9400,0.1811,0.0018,0.6018,0.0000,0.0000,walking
300,2.9900,0.2806,0.0018,0.6017,0.0000,0.4977,walking
305,3.0400,0.2819,0.0061,0.6017,0.0000,0.4977,walking
310,3.0900,0.2820,0.0066,0.6017,0.0000,0.4977,walking
315,3.1400,0.2828,0.0091,0.6017,0.0000,0.4977,walking
320,3.1900,0.2822,0.0072,0.6016,0.0000,0.4977,walking
325,3.2400,0.2817,0.0058,0.6015,0.0000,0.4977,walking
330,3.2900,0.2812,0.0041,0.6016,0.0000,0.4977,walking
335,3.3400,0.2823,0.0078,0.6015,0.0000,0.4977,walking
340,3.3900,0.2836,0.0120,0.6015,0.0000,0.4977,walking
345,3.4400,0.2839,0.0131,0.6014,0.0000,0.4977,walking
350,3.4900,0.1821,0.0056,0.6014,0.0000,0.0000,walking
355,3.5400,0.1822,0.0060,0.6013,0.0000,0.0000,walking
360,3.5900,0.1820,0.0054,0.6012,0.0000,0.0000,walking
365,3.6400,0.1809,0.0020,0.6011,0.0000,0.0000,walking
370,3.6900,0.1813,0.0033,0.6010,0.0000,0.0000,walking
375,3.7400,0.1811,0.0028,0.6010,0.0000,0.0000,walking
380,3.7900,0.1811,0.0028,0.6010,0.0000,0.0000,walking
385,3.8400,0.1810,0.0024,0.6010,0.0000,0.0000,walking
390,3.8900,0.1808,0.0016,0.6009,0.0000,0.0000,walking
395,3.9400,0.1808,0.0019,0.6009,0.0000,0.0000,walking
400,3.9900,0.2801,0.0019,0.6009,0.0000,0.4966,walking
405,4.0400,0.2801,0.0019,0.6009,0.0000,0.4966,walking
