step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
10,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
15,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
20,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
25,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
30,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
35,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
40,0.3900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
45,0.4400,0.0900,0.0000,0.3000,0.0000,0.0000,walking
50,0.4900,0.0900,0.0000,0.3001,0.0000,0.0000,walking
55,0.5400,0.0900,0.0000,0.3001,0.0000,0.0000,walking
60,0.5900,0.0901,0.0000,0.3002,0.0000,0.0000,walking
65,0.6400,0.1351,0.0000,0.4503,0.0000,0.0000,walking
70,0.6900,0.1351,0.0000,0.4503,0.0000,0.0000,walking
75,0.7400,0.1351,0.0000,0.4504,0.0000,0.0000,walking
80,0.7900,0.1352,0.0000,0.4505,0.0000,0.0000,walking
85,0.8400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
90,0.8900,0.1352,0.0000,0.4506,0.0000,0.0000,walking
95,0.9400,0.1352,0.0000,0.4507,0.0000,0.0000,walking
100,0.9900,0.1352,0.0000,0.4507,0.0000,0.0000,walking
105,1.0400,0.1352,0.0000,0.4508,0.0000,0.0000,walking
110,1.0900,0.1352,0.0000,0.4507,0.0000,0.0000,walking
115,1.1400,0.0902,0.0000,0.3008,0.0000,0.0000,walking
120,1.1900,0.0903,0.0000,0.3008,0.0000,0.0000,walking
125,1.2400,0.0913,0.0033,0.3009,0.0000,0.0000,walking
130,1.2900,0.0916,0.0045,0.3010,0.0000,0.0000,walking
135,1.3400,0.0904,0.0001,0.3011,0.0000,0.0000,walking
140,1.3900,0.1357,0.0011,0.4512,0.0000,0.0000,walking
145,1.4400,0.1355,0.0005,0.4512,0.0000,0.0000,walking
150,1.4900,0.1365,0.0037,0.4513,0.0000,0.0000,walking
155,1.5400,0.1361,0.0021,0.4514,0.0000,0.0000,walking
160,1.5900,0.1359,0.0015,0.4517,0.0000,0.0000,walking
165,1.6400,0.1358,0.0010,0.4518,0.0000,0.0000,walking
170,1.6900,0.1809,0.0010,0.6019,0.0000,0.0000,walking
175,1.7400,0.1809,0.0010,0.6020,0.0000,0.0000,walking
180,1.7900,0.1807,0.0004,0.6021,0.0000,0.0000,walking
185,1.8400,0.1813,0.0021,0.6021,0.0000,0.0000,walking
190,1.8900,0.1824,0.0058,0.6023,0.0000,0.0000,walking
195,1.9400,0.1822,0.0049,0.6023,0.0000,0.0000,walking
200,1.9900,0.1844,0.0122,0.6024,0.0000,0.0000,walking
205,2.0400,0.1829,0.0074,0.6024,0.0000,0.0000,walking
210,2.0900,0.1824,0.0057,0.6024,0.0000,0.0000,walking
215,2.1400,0.1821,0.0046,0.6024,0.0000,0.0000,walking
220,2.1900,0.1826,0.0064,0.6024,0.0000,0.0000,escape
225,2.2400,0.1832,0.0083,0.6025,0.0000,0.0000,walking
230,2.2900,0.1826,0.0064,0.6024,0.0000,0.0000,walking
235,2.3400,0.1822,0.0048,0.6025,0.0000,0.0000,walking
240,2.3900,0.1825,0.0060,0.6025,0.0000,0.0000,walking
245,2.4400,0.1818,0.0037,0.6024,0.0000,0.0000,walking
250,2.4900,0.2816,0.0038,0.6025,0.0000,0.4988,walking
255,2.5400,0.2815,0.0035,0.6024,0.0000,0.4988,walking
260,2.5900,0.2817,0.0041,0.6024,0.0000,0.4988,walking
265,2.6400,0.2820,0.0052,0.6023,0.0000,0.4988,walking
270,2.6900,0.2825,0.0068,0.6023,0.0000,0.4988,walking
275,2.7400,0.2842,0.0125,0.6023,0.0000,0.4988,walking
280,2.7900,0.2838,0.0113,0.6023,0.0000,0.4988,walking
285,2.8400,0.2826,0.0072,0.6022,0.0000,0.4988,walking
290,2.8900,0.2829,0.0083,0.6022,0.0000,0.4988,walking
295,2.9400,0.2831,0.0091,0.6022,0.0000,0.4988,walking
300,2.9900,0.2832,0.0097,0.6021,0.0000,0.4981,walking
305,3.0400,0.2826,0.0078,0.6020,0.0000,0.4981,walking
310,3.0900,0.2832,0.0099,0.6020,0.0000,0.4981,walking
315,3.1400,0.2819,0.0057,0.6019,0.0000,0.4981,walking
320,3.1900,0.2821,0.0064,0.6018,0.0000,0.4981,walking
325,3.2400,0.2809,0.0024,0.6017,0.0000,0.4981,walking
330,3.2900,0.2828,0.0091,0.6016,0.0000,0.4981,walking
335,3.3400,0.2829,0.0095,0.6015,0.0000,0.4981,walking
340,3.3900,0.3051,0.0095,0.6014,0.1111,0.4981,walking
345,3.4400,0.2829,0.0095,0.6014,0.0000,0.4981,walking
350,3.4900,0.1840,0.0120,0.6013,0.0000,0.0000,walking
355,3.5400,0.1836,0.0108,0.6013,0.0000,0.0000,walking
360,3.5900,0.1854,0.0167,0.6013,0.0000,0.0000,walking
365,3.6400,0.1854,0.0165,0.6014,0.0000,0.0000,walking
370,3.6900,0.1833,0.0095,0.6013,0.0000,0.0000,walking
375,3.7400,0.1826,0.0074,0.6013,0.0000,0.0000,walking
380,3.7900,0.1828,0.0078,0.6013,0.0000,0.0000,walking
385,3.8400,0.1820,0.0053,0.6015,0.0000,0.0000,walking
390,3.8900,0.1812,0.0025,0.6014,0.0000,0.0000,walking
395,3.9400,0.1813,0.0029,0.6015,0.0000,0.0000,walking
400,3.9900,0.2809,0.0030,0.6016,0.0000,0.4975,walking
405,4.0400,0.2813,0.0044,0.6016,0.0000,0.4975,walking
