step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.0450,0.0000,0.0000,0.0000,0.0000,0.0000,walking
10,0.0950,0.0000,0.0000,0.0000,0.0000,0.0000,walking
15,0.1450,0.0000,0.0000,0.0000,0.0000,0.0000,walking
20,0.1950,0.0000,0.0000,0.0000,0.0000,0.0000,walking
25,0.2450,0.0000,0.0000,0.0000,0.0000,0.0000,walking
30,0.2950,0.0000,0.0000,0.0000,0.0000,0.0000,walking
35,0.3450,0.0450,0.0000,0.1500,0.0000,0.0000,walking
40,0.3950,0.0450,0.0000,0.1500,0.0000,0.0000,walking
45,0.4450,0.0900,0.0000,0.3000,0.0000,0.0000,walking
50,0.4950,0.0900,0.0000,0.3000,0.0000,0.0000,walking
55,0.5450,0.0900,0.0000,0.3001,0.0000,0.0000,walking
60,0.5950,0.1350,0.0000,0.4501,0.0000,0.0000,walking
65,0.6450,0.1350,0.0000,0.4501,0.0000,0.0000,walking
70,0.6950,0.1350,0.0000,0.4501,0.0000,0.0000,walking
75,0.7450,0.1350,0.0000,0.4502,0.0000,0.0000,walking
80,0.7950,0.1351,0.0000,0.4502,0.0000,0.0000,walking
85,0.8450,0.1351,0.0000,0.4502,0.0000,0.0000,walking
90,0.8950,0.1351,0.0000,0.4502,0.0000,0.0000,walking
95,0.9450,0.0901,0.0000,0.3002,0.0000,0.0000,walking
100,0.9950,0.0901,0.0000,0.3002,0.0000,0.0000,walking
105,1.0450,0.0901,0.0000,0.3002,0.0000,0.0000,walking
110,1.0950,0.0901,0.0000,0.3002,0.0000,0.0000,walking
115,1.1450,0.0901,0.0000,0.3002,0.0000,0.0000,walking
120,1.1950,0.0901,0.0000,0.3002,0.0000,0.0000,walking
125,1.2450,0.0901,0.0000,0.3002,0.0000,0.0000,walking
130,1.2950,0.0901,0.0000,0.3003,0.0000,0.0000,walking
135,1.3450,0.0901,0.0000,0.3004,0.0000,0.0000,walking
140,1.3950,0.1351,0.0000,0.4504,0.0000,0.0000,walking
145,1.4450,0.1351,0.0000,0.4504,0.0000,0.0000,walking
150,1.4950,0.2347,0.0005,0.4504,0.0000,0.4969,walking
155,1.5450,0.2347,0.0007,0.4505,0.0000,0.4969,walking
160,1.5950,0.2348,0.0008,0.4505,0.0000,0.4969,walking
